RUN	github.UserSimulation	usersimulation	1591257174605	 	3.0.2
USER	Create a new respository	1	START	1591257174752	1591257174752
USER	Create a new respository	2	START	1591257176248	1591257176248
REQUEST	1		GET /user/repos	1591257175676	1591257176707	OK	 
USER	Create a new respository	3	START	1591257177247	1591257177247
REQUEST	2		GET /user/repos	1591257176278	1591257176824	OK	 
USER	Create a new respository	4	START	1591257177757	1591257177757
REQUEST	4		GET /user/repos	1591257177787	1591257178209	OK	 
USER	Create a new respository	5	START	1591257178756	1591257178756
REQUEST	3		GET /user/repos	1591257177720	1591257178315	OK	 
REQUEST	2		POST /user/repos	1591257177936	1591257179304	OK	 
USER	Create a new respository	2	END	1591257176248	1591257179307
REQUEST	1		POST /user/repos	1591257177936	1591257179332	OK	 
USER	Create a new respository	1	END	1591257174752	1591257179346
USER	Create a new respository	6	START	1591257179758	1591257179758
REQUEST	5		GET /user/repos	1591257179242	1591257179703	OK	 
USER	Create a new respository	7	START	1591257180757	1591257180757
REQUEST	6		GET /user/repos	1591257180074	1591257180529	OK	 
REQUEST	3		POST /user/repos	1591257179266	1591257180707	OK	 
USER	Create a new respository	3	END	1591257177247	1591257180845
REQUEST	4		POST /user/repos	1591257179252	1591257180875	OK	 
USER	Create a new respository	4	END	1591257177757	1591257180917
USER	Create a new respository	8	START	1591257181757	1591257181757
REQUEST	7		GET /user/repos	1591257180851	1591257181525	OK	 
REQUEST	5		POST /user/repos	1591257180090	1591257181746	OK	 
USER	Create a new respository	5	END	1591257178756	1591257181819
REQUEST	8		GET /user/repos	1591257181823	1591257182260	OK	 
REQUEST	6		POST /user/repos	1591257180867	1591257182384	OK	 
USER	Create a new respository	6	END	1591257179758	1591257182568
USER	Create a new respository	9	START	1591257182758	1591257182758
REQUEST	9		GET /user/repos	1591257182773	1591257182865	KO	classpath:github/githubRepositories.feature:6 method GET
REQUEST	7		POST /user/repos	1591257181829	1591257183472	OK	 
USER	Create a new respository	7	END	1591257180757	1591257183474
USER	Create a new respository	10	START	1591257183757	1591257183757
REQUEST	8		POST /user/repos	1591257182577	1591257184026	OK	 
USER	Create a new respository	8	END	1591257181757	1591257184028
REQUEST	10		GET /user/repos	1591257183769	1591257184171	OK	 
REQUEST	9		POST /user/repos	1591257182881	1591257184239	OK	 
USER	Create a new respository	9	END	1591257182758	1591257184425
REQUEST	10		POST /user/repos	1591257184432	1591257185990	OK	 
USER	Create a new respository	10	END	1591257183757	1591257185992
